lib,HitRate@20,MAP@20,MRR@20,NDCG@20,Precision@20,Recall@20,RocAuc@20
replay,0.4745700695206733,0.03927176078866247,0.18632413351027105,0.09326437896736814,0.057519209659714576,0.09632131280310642,0.2831744731011519
rs_metrics,0.4745700695206733,0.031690245847362415,0.1863241335102709,0.09326437896736813,0.05751920965971461,0.09632131280310642, -
daisyRec, 0.47457006952067327, 0.022970972145948697*, 0.2748816881385204, 0.0730865703295614, 0.057519209659714604, 0.09632131280310641, failed
recBole, 0.47457006952067327, 0.03927176078866248, 0.18632413351027097, 0.09326437896736814, 0.057519209659714604, 0.09632131280310642, 0.5305776379264664
elliot, 0.47457006952067327, 0.07298532565140084, 0.18632413351027097, 0.08984914516171721, 0.057519209659714604, 0.09632131280310642, 0.626898329176478
beta_recsys, -, 0.031690245847362415, -, 0.09326437896736813, 0.0575192096597146, 0.09632131280310642, 0.5305776379264664
suprise, -, -, - , -, 0.057519209659714604, 0.09632131280310642, -
ms_recommenders, -, 0.031690245847362415, -, 0.09326437896736813, 0.0575192096597146, 0.09632131280310642, 0.5305776379264664
openRec, -, -, -, 0.4626283, 0.057519209659714604, 0.096321315, 0.28317448
neuRec, 0.47457007*, 0.0028783712115732244, 0.18632413, 0.09326437896736814, 0.057519209659714604, 0.096321315, -
RecSys2019_DL_Eval, 1.150384193194292, 0.03927176078866242, 0.18632413351027025, 0.07981995794175147, 0.057519209659714604, 0.09632131280310642, 0.28317447310115185
RecSysPytorch, -, -, -, 0.0933, 0.0575, 0.0963, -
